symbol,strategy,trigger,confluence,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,remaining_shares,scaled_out,scale_out_price,holding_days,pnl,pnl_pct,peak_price,rsi_at_entry,vol_at_entry,portfolio_value,win
BMY,momentum_breakout,breakout,3,2024-09-27,46.39467239379883,2025-02-14,50.81,trailing_stop,7.916649344544883,3.96,True,54.75,140,50.57,13.77,56.46,65.23369878939003,2.0126884659206086,1965.74,1
AMZN,momentum_breakout,breakout,3,2025-01-27,235.4199981689453,2025-02-20,224.12,stop_loss,1.4260448552693874,1.43,False,,24,-16.11,-4.8,242.06,60.57996531331666,1.6115596785833697,1932.41,0
WMT,momentum_breakout,breakout,3,2024-11-22,88.8188705444336,2025-02-24,93.06,trailing_stop,4.479200731152422,4.48,False,,94,18.98,4.77,103.4,80.14233430710675,1.5203794833120503,1847.74,1
PANW,momentum_breakout,breakout,3,2025-02-14,200.02999877929688,2025-03-03,187.45,trailing_stop,0.9267030363585211,0.93,False,,17,-11.66,-6.29,208.28,57.2689327250059,2.238587428768945,1810.62,0
ISRG,momentum_breakout,breakout,3,2024-06-05,417.239990234375,2025-03-06,549.41,trailing_stop,0.7786276616393618,0.39,True,492.34,274,80.69,24.84,610.45,66.44985404374192,1.9091061086079542,1777.55,1
QQQ,momentum_breakout,breakout,3,2024-12-18,511.82806396484375,2025-03-06,489.42,stop_loss,0.5141679843789011,0.51,False,,78,-11.52,-4.38,535.53,62.05883807216918,2.0346385315306823,1777.55,0
MCD,momentum_breakout,breakout,3,2025-03-07,309.7086181640625,2025-03-11,300.4,stop_loss,1.1611455678851896,1.16,False,,4,-10.81,-3.01,309.71,69.59091123703735,1.9669011662930702,1760.66,0
VZ,momentum_breakout,breakout,3,2025-03-07,41.75812911987305,2025-03-12,39.15,stop_loss,2.6115052612467853,2.61,False,,5,-6.81,-6.25,42.15,73.42199326393346,2.092359477460053,1775.62,0
CME,momentum_breakout,breakout,3,2025-03-03,244.9222717285156,2025-04-03,257.13,bearish_divergence,1.0265643381117675,1.03,False,,31,12.54,4.99,257.13,72.28323119150703,1.53597794027819,1820.87,1
JPM,mean_reversion,oversold,2,2025-03-11,222.39083862304688,2025-04-04,219.36,trailing_stop,1.5833887204388837,1.58,False,,24,-4.8,-1.36,243.73,27.716095544087576,1.7110339669902381,1725.63,0
